lag,n_obs,n_days,b_common_pooled,t_common_pooled,b_common_fm,t_common_fm,b_shock_pooled,t_shock_pooled,b_shock_fm,t_shock_fm,beta_diff_fm,t_diff_fm
1,12238819,7113,0.049539702387772715,7.92721049451537,0.03958702059905023,7.700779850468812,0.0017293561858266317,0.6510540273257092,0.0033716877013172442,1.860639025319948,0.03621533289773295,6.902230262869511
2,12231906,7112,0.024930231265466427,4.04266117444253,0.009753037393749966,2.022940817325714,0.0025954433540080982,1.0131626665563112,-0.0008618034356502428,-0.5088695185242128,0.010614840829400219,2.1298499825928725
3,12225004,7111,0.008504867571432172,1.3232631369434102,-0.0052294327800872864,-1.0903005545608602,-0.002730271495714174,-1.0528820243678825,-3.0006046837329083e-05,-0.017733562153516756,-0.005199426733249957,-1.047096743508658
4,12218103,7110,0.013373757031062895,2.2159711726202937,0.005882775668398538,1.2308146945701126,-0.00467788468998895,-1.7810055189551817,1.84235822743939e-05,0.011649108180173675,0.005864352086124141,1.2095208215134234
5,12211228,7109,0.0074216037103888,1.3126419250374879,0.001004555185124323,0.2115683530522898,-4.278046743576651e-05,-0.016813576297582237,0.0012470454510666884,0.7340360338021373,-0.0002424902659423603,-0.049901260829392766
6,12204356,7108,-0.005953830965289298,-1.114827041998087,-0.001954974900805064,-0.41189115741759047,0.0030615637732715824,1.218107658160759,0.0024828912239900297,1.456181092593568,-0.004437866124795107,-0.9147079446389776
7,12197488,7107,0.016870581365797756,3.1084470827356516,0.01032176489466454,2.111051310350279,0.004592218023943293,1.6965029652710137,-0.0033725045424404135,-1.9512118496851947,0.013694269437104944,2.7512864227124703
8,12190621,7106,-0.001074178983584631,-0.18965953585956782,0.003930847364068529,0.814341936160392,-0.0024013427102555452,-0.9390113861521134,-0.00179377837325889,-1.0052239085164527,0.005724625737327434,1.1580965220884694
9,12183755,7105,0.00032783821405132436,0.06062309497958479,0.004214296548704565,0.8539736009145774,0.005118296889108595,1.9728744440828327,0.001949743485688381,1.161967054435799,0.0022645530630161954,0.45526991447170617
10,12176892,7104,0.0013962558778333768,0.2706474464101038,0.014189963319944375,2.8778679039146486,0.0032656707953714996,1.264855664909688,0.0024370949180131172,1.4250901713224544,0.011752868401931252,2.3801659212500863
