lag,n_obs,n_days,beta_pooled,t_pooled,beta_fm,t_fm,own_lag_pooled
1,12379260,7173,0.02201649895549981,6.841287203720612,0.009278555939982683,5.025780904721673,-0.002608774193282438
2,12372176,7172,0.011988468935052605,3.8407554160671555,0.0012189327258851465,0.7198508893315048,-0.014512031684447738
3,12365105,7171,0.0020657150077145947,0.6448256762264842,-0.0004961577079839528,-0.29729501954599513,-0.004221818857971759
4,12358033,7170,0.002518196098229619,0.8140421791066322,0.0012739163379676865,0.7863413439071669,-0.0038166934237421953
5,12350965,7169,0.0031770135821511834,1.1344880114330576,0.0005213761051967275,0.3115297731390419,-0.005616045210263683
6,12343899,7168,-0.0007199875047093026,-0.26024557713061525,0.0021220666467372615,1.2652637545029015,-0.007452557522846347
7,12336837,7167,0.009853817364047347,3.4308337573758756,-0.0017309416458009034,-0.9855745891500962,0.0018139991061960053
8,12329774,7166,-0.001835776775316529,-0.6491899550954966,-0.00227464102236996,-1.3433440378883876,-0.0007364501756983173
9,12322710,7165,0.003426549718722093,1.215704920165181,0.0009431094774398001,0.5636827972123982,-0.0013746388167257498
10,12315650,7164,0.002208389279926685,0.8208265872812569,0.004070983935099552,2.3903587108139486,-0.0002132090433737252
