year,rows,median_rel_spread,mean_roll_bound,stale_close_share,quote_valid_share
1996,1826589,0.03225806451612903,0.02560988889486542,0.08588248368954374,0.9834325072580641
1997,1883290,0.028169014084507043,0.023123300444320125,0.07354417004285055,0.9786511902043764
1998,1831857,0.02403204272363151,0.0204659775930591,0.0645099481018442,0.9646986637057369
1999,1708555,0.021505376344086023,0.0180920119083339,0.05925943267849147,0.9466256573537287
2000,1653237,0.0206794682422452,0.018191158990418784,0.057978983049617204,0.9302773891462628
2001,1481518,0.016161616161616175,0.016918442138853098,0.07336731649564839,0.8983245562996872
2002,1365935,0.012018027040560764,0.013875318806579233,0.06505800056371643,0.9836954174246945
2003,1262975,0.006688963210702346,0.008515404188606896,0.049128446723015105,0.9601409370731804
2004,1221555,0.0036918293986205153,0.005205870606815796,0.03648710045802277,0.9440532763567747
2005,1207250,0.002928257686676365,0.004442330539659526,0.03147069786705322,0.9536168979084697
2006,1183574,0.0021668472372697264,0.003426103876467051,0.028250874047588068,0.9676344698345858
2007,1164719,0.002249718785151808,0.003671455553738823,0.02448401717495808,0.9900121831961185
2008,1134977,0.003514938488576583,0.009813502890701235,0.03404386168177857,0.9934033905532887
2009,1053466,0.0033112582781456247,0.010125744451692658,0.03447572109588729,0.9893788693702502
2010,1011884,0.0018814675446849813,0.004998621025815026,0.02540212119175716,0.9955686620205478
2011,973456,0.001582695858612376,0.00442785982911555,0.024016493811738794,0.9964518170312783
2012,932364,0.0014847809948032348,0.004738895961822239,0.024063563157736678,0.9982678438892965
2013,917945,0.001208459214501485,0.003572039723953509,0.01775814455114413,0.997654543572872
2014,938895,0.0010816657652785058,0.003061833494489733,0.01639160928538335,0.9979561079779954
2015,949933,0.0010934937124111304,0.0037260053895820434,0.01893712503934488,0.9985862160805025
2016,923636,0.0010643959552953473,0.003756086006391074,0.01781112905949963,0.9988458656873487
2017,902689,0.001308044473512025,0.0033081055264835234,0.014944238824224068,0.9993131632267591
2018,901934,0.001217285453438935,0.003430974684694948,0.014583106967915612,0.9991861932247814
2019,906154,0.0011771630370806105,0.0037307192111595993,0.017237688075095403,0.999204329506905
2020,912531,0.0016239498697538876,0.0036117242872920397,0.011200715372957193,0.9995189204531134
2021,1027804,0.0017725258493353699,0.0024850798764795654,0.012806916493806213,0.9997869243552273
2022,1106196,0.001857010213556135,0.003424150121047854,0.027998654849592658,0.9997206643307335
2023,1041066,0.0018604651162790302,0.004382532257738803,0.021856443299464203,0.9997127943857546
2024,987347,0.001795332136445204,0.0041126339834641175,0.013075443587715363,0.9990520050195119
