bin,mean_ret,t_stat,n_days
1,0.00032316826471893176,1.7996915877142428,7173
2,0.00044560820988396037,2.644736097173719,7173
3,0.00047211296143438876,2.8685459154883675,7173
4,0.0006027269929739602,3.6026524240462807,7173
5,0.0006821605404893747,3.999011208348981,7173
-1,0.000358992275770443,4.3398910951902945,7173
